i,v
1339694846,0.030303030303030304
1379415847,0.030303030303030304
117817623,0.030303030303030304
265331258,0.030303030303030304
2846592125,0.030303030303030304
2661084708,0.030303030303030304
50858307,0.030303030303030304
15156181,0.030303030303030304
77152055,0.030303030303030304
14356633,0.030303030303030304
322684937,0.030303030303030304
802074,0.030303030303030304
193749466,0.030303030303030304
12293152,0.030303030303030304
676573,0.030303030303030304
109628138,0.030303030303030304
3040070879,0.030303030303030304
69619073,0.030303030303030304
2868453062,0.030303030303030304
358278852,0.030303030303030304
2789328987,0.030303030303030304
152420744,0.030303030303030304
54111479,0.030303030303030304
67435852,0.030303030303030304
216939636,0.030303030303030304
505835394,0.030303030303030304
295218901,0.030303030303030304
244647486,0.030303030303030304
339061487,0.030303030303030304
2178012643,0.030303030303030304
26377478,0.030303030303030304
1854401,0.030303030303030304
80722677,0.030303030303030304
